10156285758346977_10156288024286977,"Difference between Previous administrations from Current administration 

CORONA complaint went directly to the impeachement court WITHOUT any house committee hearing

without Due process. 

SERENO complaint had 18 hearings in house committee before house panel decided to vote on Sereno probable cause  

WITH due process 

Kayo na humusga"
10156285758346977_10156288060241977,"Bakit naman sya aatras my gudness!!! sya nga itong ini empeach at wala syang magagawa para umatras,,depende yan sa senado kung sila ang umatras hindi ang ngawngawerang Sereno na ito."
10156285758346977_10156288101526977,Sabi ni sereno ginigipit daw sya ng mga politiko syempre gigipitin ka talaga ng politiko dhil ikw na ang ini indorso nila tumakbo sa pagka President ng bansa hindi bagay sayo ang CJ ang bagay sayo magiging pangulo ng bansa maraming mambabatas na bumoto sa iyo na i impeach ka dhil natatakot na sila na manalo si sereno sa pagka Pangulo ng bansa
10156285758346977_10156288102691977,Trabaho ng PR na binabayaran para pagandahin imahe ni Sereno!
10156285758346977_10156288299536977,GALAWANG LP.... KAPAG NAIIPIT SA INTERVIEW KUMAKAPIT hahahaha KARMA ANG TAWAG JAN SERENO DAHIL GANYAN NA GANYAN DIN ANG GINAWA NYO KAY CORONA DAMUHO KA!
10156285758346977_10156288312256977,D yan mpatalsik c sereno sa senado kac wla clang mtanggap na milyon. D tulad noon ky corona milyon ang ntanggap ng mga senador
10156285758346977_10156288406351977,Laban CJ Sereno!
10156285758346977_10156288433981977,"Anu. To c sereno tatakbo sa eleksyon??? Bkit iniikot buong Lugar hahaahhaha now may tym cya mg
Ikot sa lahat ng Lugar pro sa hearing sa congress hndi smulpot aba May pgka delima dn pla!!! Hwav kana mglilinis madam lumabas n baho mo hwag mna hntayin pmilya mo mpahiya dn sundin mo. C comelec chairman bautista.."
10156285758346977_10156288474056977,"Jose Thomas Beldia ang changes, e.i. ang isang kaso na nililitis ng 7 taon, sa ilalim ni CJ Sereno 5 buwan lang. Bakit? Para walang puwang sa lagayan at katiwalian. I focus lahat sa mga kailangan gawin para sa tao. Lagi namang ang naiiba ang syang binubully.  And for your information I dont idolize anybody but God, you, in the other hand might be the one who is idolizing human. She doesnt have to convince anybody, she has to serve the people and thats her mandate as a CJ and thats what shes doing. Ive been a Rehab director for years and I dont care if my people like me or not, as long as they do their job right is good for me. I didnt go to work to be Miss Congeniality or to be the most Popular, I go to work everyday to see progress on all our patients, then it shows we are doing the right thing for them. If you or one of your love ones needed help youll understand because all you will want is for them to be given the right attention, treatment immediately."
10156285758346977_10156288537616977,Very Well Said CJ Sereno.
10156285758346977_10156288699131977,"Matapang ayaw mag PA interview ng ambush gusto kontrolado niya ang usapan ganyan ba matapang , fake term yan ang tawag diyan magulang si DONA sisa SERENO.... Takot at magulang , clarification lang Hindi matapang...."
10156285758346977_10156288743271977,kapal ng mukha tawag jan kay sereno.
10156285758346977_10156288759206977,ang kapal ng mukha mo sereno.
10156285758346977_10156288823466977,Lalong.gumaganda si sereno
10156285758346977_10156288876241977,I love you CJ Sereno
10156285758346977_10156289072671977,Hay sereno puro ka pa interviews my balak ka yata mag artista pa
10156285758346977_10156289102056977,bye sereno wala pang na-acquit sa impeachment trial
10156285758346977_10156289150491977,KapaL mo sereno bigti kna lng
10156285758346977_10156289192691977,Lakas kumapit ni Tuko.oras maka bitaw yan tiyak lagapak Sa kulungan si tukong sereno
10156285758346977_10156289348601977,"Jusko kahit san ako malingon puro sereno nakikita ko, masyadong nagpapa awa effect na tong babaeng to. Nakakairita na"
10156285758346977_10156289604551977,"So hindi corrupt c sereno? How did u know? Yang mga tuko sa pwesto sign yan ng corrupt na tao. Mga forum shoppers pa epal lng. Pro oppisition will always be bitter, lalo na pag upo ni bbm hahaha ."
10156285758346977_10156289796291977,tingnan natin sereno kong saan ang tapang nyo.
10156285758346977_10156291458501977,Say what you want to say...and never naging kapit tuko c sereno sa pwesto.. Hindi sya bitter like corrupt politicians. Kagaya ni bbm mo.lahat gagawin at magbabayad kc hindi nya nman pibaghirapan ang pera kunurakot lng nila..
10156285758346977_10156291603621977,Go Ms. CJ Sereno fight for your right...so this government will see that good shall prevail than evil manipulative actions...para makita ng gobeyernong ito n there is no one above the law...and let the law speak for the truth and dictate what is right at ipahiya ang may masamang kaisipan...let the law put down detractors of the law. .. .
10156285758346977_10156291615431977,mr. bugyu. . .it will be done later. . .and why are you so angry?are you being affected by the judiciary...ms. sereno is there during the time of aquino admin kaya ka affected...but if you are using ur brain..bakit k dapat maapektuahan at parang galit n a galit. . . .???? ngayon kung babanggit k ng sample sabihin n nating dahilsa sasakyan n binili ni sereno na toyota land cruiser b iyon .. . .e magkano lng yan kumpara sa isang leader n makaduterte na ang sasakyan ay categorized as luxury car and yet taga gobyerno sya....magkano lang ang land cruiser...may pilipinongengineer nga sa ibang bansa ang sasakyan ay land cruiser din atnong comparison yun sa isang nanunugkulan bilang mahistrado???kay laki ng kaninaan nyo sa pagtingin ng situation....
10156285758346977_10156293062401977,"mga kulto at bobotards FYI, nasa constitution.. impeachment lng ang makakatanggal sa cj... kaya kng nagpapa-interview man sa ibat-ibang reporters/tv networks or mga journalist... karapan ni cj sereno yan! tsaka naka-leave nman cya."
10156285801831977_10156286803026977,"Hindi tinatanggal ang lahat ng mahistrado sa Supreme Court, si CJ sereno lang ang sasalang sa impeachment proceeding."
